weatherstation_id,fmis_id,weatherstation_name
a8211d73-b747-ec11-8c62-6045bd8ee4f4,151048,Lumparland Långnäs satama
5ad7246d-b747-ec11-8c62-6045bd8ee4f4,103119,Imatra Pelkolan tulliasema Raja
69d6d26e-b747-ec11-8c62-6045bd8ba7a7,101609,Juuka Niemelä
14d7246d-b747-ec11-8c62-6045bd8ee4f4,101257,Merikarvia Tuorila
8fd6d26e-b747-ec11-8c62-6045bd8ba7a7,101968,Enontekiö Kaaresuvanto
bdd6d26e-b747-ec11-8c62-6045bd8ba7a7,101000,Espoo Latokaski
fad6d26e-b747-ec11-8c62-6045bd8ba7a7,103147,Raahe keskusta
47d7246d-b747-ec11-8c62-6045bd8ee4f4,100996,Helsinki Harmaja
5dd6d26e-b747-ec11-8c62-6045bd8ba7a7,101784,Hailuoto Marjaniemi
3ad7246d-b747-ec11-8c62-6045bd8ee4f4,101580,Kuopio Ritoniemi
39d7246d-b747-ec11-8c62-6045bd8ee4f4,103124,Oulu Nokela
9ed6d26e-b747-ec11-8c62-6045bd8ba7a7,100963,Lohja Leppäkorpi
3cd7246d-b747-ec11-8c62-6045bd8ee4f4,101826,Suomussalmi Pesiö
ac211d73-b747-ec11-8c62-6045bd8ee4f4,103141,Porvoo Svartbäck
b0211d73-b747-ec11-8c62-6045bd8ee4f4,100762,Helsinki Mäkelänkatu
49d7246d-b747-ec11-8c62-6045bd8ee4f4,101311,Tampere Siilinkari
e1d6246d-b747-ec11-8c62-6045bd8ee4f4,101196,Heinola Asemantaus
1fd7d26e-b747-ec11-8c62-6045bd8ba7a7,100683,Porvoo Kilpilahti satama
19d7246d-b747-ec11-8c62-6045bd8ee4f4,102001,Sodankylä Vuotso
6bd7246d-b747-ec11-8c62-6045bd8ee4f4,101771,Kuhmo Apaja
62d7246d-b747-ec11-8c62-6045bd8ee4f4,103152,Pietarsaari Bottenviksvägen
04d7246d-b747-ec11-8c62-6045bd8ee4f4,101339,Jyväskylä lentoasema
f4d6d26e-b747-ec11-8c62-6045bd8ba7a7,103099,Tampere Pirkankatu
38d7246d-b747-ec11-8c62-6045bd8ee4f4,103142,Harjavalta Kaleva
edd6246d-b747-ec11-8c62-6045bd8ee4f4,101459,Tohmajärvi Kemie
91211d73-b747-ec11-8c62-6045bd8ee4f4,100951,Kemiönsaari Kemiö
f6d6246d-b747-ec11-8c62-6045bd8ee4f4,101572,Kuopio Maaninka
86211d73-b747-ec11-8c62-6045bd8ee4f4,101950,Kemijärvi lentokenttä
34d7246d-b747-ec11-8c62-6045bd8ee4f4,101603,Rautavaara Ylä-Luosta
8dd6d26e-b747-ec11-8c62-6045bd8ba7a7,101149,Nurmijärvi Röykkä
77d7246d-b747-ec11-8c62-6045bd8ee4f4,101651,Ilomantsi Mekrijärvi
2fd7246d-b747-ec11-8c62-6045bd8ee4f4,101450,Rääkkylä kirkonkylä
81d6d26e-b747-ec11-8c62-6045bd8ba7a7,101570,Siilinjärvi Kuopio lentoasema
e6d6246d-b747-ec11-8c62-6045bd8ee4f4,101285,Kurikka Hirvijärvi
94211d73-b747-ec11-8c62-6045bd8ee4f4,103095,Kuopio Tasavallankatu
8e211d73-b747-ec11-8c62-6045bd8ee4f4,102026,Inari Angeli Lintupuoliselkä
2ad7246d-b747-ec11-8c62-6045bd8ee4f4,101947,Pelkosenniemi kirkonkylä
b8211d73-b747-ec11-8c62-6045bd8ee4f4,106417,Varkaus Kosulanniemi Rantalankatu
26d7d26e-b747-ec11-8c62-6045bd8ba7a7,104091,Nastola Rakokiventie siirrettävä
6cd7246d-b747-ec11-8c62-6045bd8ee4f4,101773,Kuhmo Kalliojoki
77211d73-b747-ec11-8c62-6045bd8ee4f4,101742,Kajaani Paltaniemi
